,id,subj,verb,obj1,adj1,preps1,obj2,adj2,preps2,obj1 phrasal weight,obj2 phrasal weight,distilgpt2 sentence score,full obj1,full obj2,obj1 syll,obj2 syll,distilgpt2 obj1 tokens,distilgpt2 obj2 tokens,obj1 len,obj2 len,gpt2 sentence score,gpt2 obj1 tokens,gpt2 obj2 tokens,gpt2_med sentence score,gpt2_med obj1 tokens,gpt2_med obj2 tokens,gpt2_large sentence score,gpt2_large obj1 tokens,gpt2_large obj2 tokens,gpt2_xl sentence score,gpt2_xl obj1 tokens,gpt2_xl obj2 tokens,llama_3 sentence score,llama_3 obj1 tokens,llama_3 obj2 tokens,llama_3_chat sentence score,llama_3_chat obj1 tokens,llama_3_chat obj2 tokens,babyopt sentence score,babyopt obj1 tokens,babyopt obj2 tokens,babyllama sentence score,babyllama obj1 tokens,babyllama obj2 tokens,mistral_0.3 sentence score,mistral_0.3 obj1 tokens,mistral_0.3 obj2 tokens,mistral_0.3_chat sentence score,mistral_0.3_chat obj1 tokens,mistral_0.3_chat obj2 tokens,olmo sentence score,olmo obj1 tokens,olmo obj2 tokens,olmo_chat sentence score,olmo_chat obj1 tokens,olmo_chat obj2 tokens,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,var,responses
57,57,John,cooked,his mother,"['sick', 'disabled']","['in Miami', 'with Alzheimers']",a feast,"['grand', 'celebratory']","['of pie', 'with chicken']",5,5,-5.8424438997,his sick disabled mother in Miami with Alzheimers,a grand celebratory feast of pie with chicken,15,13,10,9,8,8,-5.2064470811,10,9,-5.5751358596,10,9,-5.405506871,10,9,-5.3469494906,10,9,-5.1765789986,11,9,-5.6384877563,11,9,-8.3991714768,10,9,-5.5594509045,12,9,-4.7304196167,11,10,-4.9703348351,11,10,-5.0205744868,11,9,-5.0006446838,11,9,1.1538461538,1.0,1.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,-0.6095450018,-0.49990686500000003,-0.7093497127,-0.7287811057,-0.4278539367,-0.3597519475,-0.5152438827,-0.3925981436,-0.47242200300000003,-0.2032215722,-0.5593044937,-0.7581507510000001,da,"[7.0, 1.0, 5.0, 7.0, 6.0]"
58,58,John,sells,immigrants,[],['from Texas'],houses,['large'],['from a famous architect'],2,3,-6.2250078519, immigrants from Texas,large houses from a famous architect,6,10,3,6,3,6,-5.6297082901,3,6,-5.9832452138,3,6,-5.761796236,3,6,-5.8106795549,3,6,-5.5010774686,3,6,-6.2253901775,3,6,-8.4308010615,3,6,-5.009897777,4,7,-5.1157448973,3,6,-5.3299265589,3,6,-5.4645864169,3,6,-5.625579079,3,6,0.6000000000000001,0.5,0.6666666667000001,John sells large houses from a famous architect to immigrants from Texas.,John sells immigrants from Texas large houses from a famous architect.,-1.3867562901000001,-1.1187421048,-0.627308347,-0.6714704362,-1.0549942102,-1.0054924672,-0.6250487688,-0.7512519962,-0.893392293,-0.8568204419000001,-0.8778706608,-1.6328001203,da,"[7.0, 7.0, 5.0, 7.0]"
59,59,John,gave,his sister,['step'],['in college'],flowers,"['beautiful', 'pink']",['with trimmed stems'],3,4,-6.2910996846,his step sister in college,beautiful pink flowers with trimmed stems,7,10,5,7,5,6,-5.6285367693,5,7,-5.2758325849,5,7,-5.7071063519,5,7,-5.3277461188,5,7,-5.368923823,5,6,-5.5190030734,5,6,-8.335704422,5,7,-5.4531313181,5,10,-4.9298510832,5,8,-5.0616334466,5,8,-5.3784486226,5,7,-5.5802454948,5,7,0.7000000000000001,0.8333333333,0.75,John gave beautiful pink flowers with trimmed stems to his step sister in college.,John gave his step sister in college beautiful pink flowers with trimmed stems.,-0.4927873297,-0.3889236031,-0.4088353193,-0.5346651968,-0.6080427624,-0.66941821,-0.0027263573,-0.3145991723,-0.6316216009,-0.5844346198,-0.5414579203000001,-0.8572006593,da,"[6.0, 1.0, 5.0, 7.0]"
60,60,John,sells,immigrants,['American'],"['with college degrees', 'in politics', 'from Texas']",houses,['vacation'],"['from a famous architect', 'from the 80s']",5,4,-5.3531597311,American immigrants with college degrees in politics from Texas,vacation houses from a famous architect from the 80s,19,14,9,12,9,9,-4.9464428642,9,12,-4.9663844542,9,12,-4.9596317465,9,12,-5.1139395887,9,12,-4.9035545588,9,12,-5.4038466016,9,12,-7.6084356723,9,12,-5.2746148109,10,12,-4.6715625616,9,12,-4.9429542468,9,12,-4.8732881763,9,11,-5.1342772571,9,11,1.3571428571,1.0,1.25,John sells vacation houses from a famous architect from the 80s to American immigrants with college degrees in politics from Texas.,John sells American immigrants with college degrees in politics from Texas vacation houses from a famous architect from the 80s.,-0.8502969865000001,-1.0803192477,-0.7854737017000001,-0.6979316674,-0.689186205,-0.5632693189,-0.4723623468,-0.5111541541,-0.5108932070000001,-0.49742785240000004,-0.8106650181,-1.1625880699,da,"[2.0, 6.0, 7.0, 7.0, 6.0]"
61,61,John,prepared,his mother,"['sick', 'disabled']","['at the care home', 'in Miami', 'with Alzheimers']",a feast,"['grand', 'hearty', 'celebratory']","['with chicken', 'from the farm']",6,6,-5.534397534,his sick disabled mother at the care home in Miami with Alzheimers,a grand hearty celebratory feast with chicken from the farm,19,16,14,11,12,10,-5.2060317993,14,11,-5.1544581567,14,11,-5.0661482811,14,11,-5.1533731222,14,11,-4.6694358031,15,11,-4.98188049,15,11,-7.8954939842,14,11,-5.4433351358,16,11,-4.3623607755,15,13,-4.4311355203,15,13,-4.7899919214,15,11,-4.6669479732,15,11,1.1875,1.2,1.0,John prepared a grand hearty celebratory feast with chicken from the farm for his sick disabled mother at the care home in Miami with Alzheimers.,John prepared his sick disabled mother at the care home in Miami with Alzheimers a grand hearty celebratory feast with chicken from the farm.,-0.3795803212,-0.2931808495,-0.4967971908,-0.5393677244,-0.5171216872000001,-0.4837266763,-0.9556385109000001,-0.3266141031,-0.21832234820000002,-0.2622837362,-0.14329467740000001,-0.6196292686,da,"[7.0, 3.0, 7.0, 6.0, 7.0, 5.0]"
62,62,John,prepared,his friend,['best'],['in the sports club'],a feast,['grand'],"['of pie', 'with chicken']",3,4,-5.1818947512,his best friend in the sports club,a grand feast of pie with chicken,7,8,7,7,7,7,-4.8054520102,7,7,-5.0729271384,7,7,-4.9586768431,7,7,-4.8869432281,7,7,-5.0115735531,7,7,-4.9490344524,7,7,-7.3152168857,7,7,-4.8153882588,7,7,-4.417877649,7,8,-4.5424700536,7,8,-4.5729998701,7,7,-4.6624480135,7,7,0.875,1.0,0.75,John prepared a grand feast of pie with chicken for his best friend in the sports club.,John prepared his best friend in the sports club a grand feast of pie with chicken.,-0.6322837858,-0.5377110032,-0.47360918100000005,-0.6990701486,-0.3743767598,-0.6275853410000001,-1.155038938,-0.7730093037,-0.5138762778,-0.6929398950000001,-0.45623698300000004,-0.7241213077,da,"[7.0, 6.0, 7.0, 7.0, 7.0, 7.0, 4.0, 7.0, 2.0, 1.0, 7.0, 3.0]"
63,63,John,mailed,his friend,[],[],flowers,"['beautiful', 'pink']","['with trimmed stems', 'from the nursery in town', 'with a lace wrap']",1,6,-6.0556254387,his friend,beautiful pink flowers with trimmed stems from the nursery in town with a lace wrap,2,21,4,16,2,15,-5.4686012268,4,16,-5.3425849915,4,16,-5.6021023512,4,16,-5.5284484148,4,16,-5.3980048725,4,15,-5.5115268571,4,15,-8.191284384,4,16,-5.2328455966,4,19,-4.2463630394,4,20,-4.3520612187,4,20,-5.198582983,4,16,-5.4484904766,4,16,0.0952380952,0.1333333333,0.1666666667,John mailed beautiful pink flowers with trimmed stems from the nursery in town with a lace wrap to his friend.,John mailed his friend beautiful pink flowers with trimmed stems from the nursery in town with a lace wrap.,-0.0819342764,-0.24483461880000001,-0.1039944486,-0.18062655930000002,-0.025532524900000002,-0.1496060746,0.6294576781,-0.14117734240000002,-0.10721785730000001,-0.1033430629,-0.0391882018,-0.1469718958,da,"[2.0, 6.0, 5.0, 1.0, 2.0]"
64,64,John,built,his brother,"['unemployed', 'sick', 'younger']",['with cancer'],a house,"['beautiful', 'big']","['with a deck', 'for fishing by the lake']",5,5,-5.4677537571,his unemployed sick younger brother with cancer,a beautiful big house with a deck for fishing by the lake,12,15,7,12,7,12,-4.9478820454,7,12,-4.6098185453000005,7,12,-4.7103154009,7,12,-4.5422512184,7,12,-4.5743225761,7,12,-4.8756231432,7,12,-7.9232219198000005,7,12,-5.0411656214,8,12,-4.3129705588,8,12,-4.2259123723,8,12,-4.5353595127,7,12,-4.5555788387,7,12,0.8,0.5833333333,1.0,John built a beautiful big house with a deck for fishing by the lake for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a beautiful big house with a deck for fishing by the lake.,-0.6422594326000001,-0.8651271588,-0.8399594253,-0.6451937864,-0.3618799066,-0.2620703486,-0.1715484467,-0.4915168191,-0.5212775071,-0.4420536411,-0.30803694660000003,-0.48431111,da,"[7.0, 3.0, 4.0, 6.0]"
65,65,John,sells,students,['college'],"['at the campus', 'in the city']",apartments,"['small', 'cheap', 'studio']","['on the main street', 'in downtown']",4,6,-4.9784980956,college students at the campus in the city,small cheap studio apartments on the main street in downtown,12,15,8,10,8,10,-4.6833715893,8,10,-4.655737559,8,10,-4.2562249729,8,10,-4.5750994001,8,10,-4.192910151,8,10,-4.5791071112,8,10,-6.955780116,8,10,-4.7447266993,10,12,-4.0456756716,8,10,-4.1390074232,8,10,-4.1163328035,9,10,-4.416907583,9,10,0.8,0.8,0.6666666667000001,John sells small cheap studio apartments on the main street in downtown to college students at the campus in the city.,John sells college students at the campus in the city small cheap studio apartments on the main street in downtown.,-0.5119639896,-0.5589030584,-0.5773683003,-0.5301873412,-0.5664607437,-0.3457833843,-0.7943507417,-0.3445507849,-0.6110046739,-0.6548758354,-0.6495111124,-0.8944404261000001,da,"[4.0, 6.0, 7.0, 4.0, 6.0]"
66,66,John,rents,students,"['wealthy', 'college']","['with jobs', 'at the campus', 'in the city']",houses,"['modern', 'vacation']","['from a famous architect', 'from the 80s']",6,5,-5.2505427551,wealthy college students with jobs at the campus in the city,modern vacation houses from a famous architect from the 80s,16,16,12,11,11,10,-4.8200549316,12,11,-4.9882850647,12,11,-4.6900868034,12,11,-4.7739291,12,11,-4.4668479849,12,12,-4.8333926201,12,12,-6.7476792336,12,11,-5.0283212295,12,12,-4.3464917643,11,13,-4.5153846741,11,13,-4.9196225548,12,11,-5.4122981834,12,11,1.0,1.1,1.2,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,-0.5318458049,-0.6452816327,-0.7582438374,-0.6360743436,-0.6758091117,-0.4105117137,-0.6754588699,-0.4163406357,-0.44896120510000004,-0.4140134368,-0.46123648240000004,-0.4593292865,da,"[7.0, 6.0, 6.0, 7.0, 7.0]"
67,67,John,played,his roommate,"['visiting', 'exchange']","['from Korea', 'with his professor']",a song,"['new', 'danceable']",['from his favorite record label'],5,4,-6.3968163404,his visiting exchange roommate from Korea with his professor,a new danceable song from his favorite record label,17,15,9,10,9,9,-5.9480890794,9,10,-5.5759931044,9,10,-5.3893964507,9,10,-5.9081391421000005,9,10,-5.2741952564,9,10,-5.5850736991,9,10,-8.2325354659,9,10,-6.3219514515,10,10,-4.9535753727000005,10,10,-5.0006370942,10,10,-5.0966841242,10,10,-5.5176953025,10,10,1.1333333333,1.0,1.25,John played a new danceable song from his favorite record label for his visiting exchange roommate from Korea with his professor.,John played his visiting exchange roommate from Korea with his professor a new danceable song from his favorite record label.,-0.275108676,-0.3553772221,-0.44212917030000004,-0.15618707610000002,-0.6831368345000001,-0.4608728339,-0.29147421700000004,-0.076100439,-0.2654936728,-0.40072882860000003,-0.1171257561,-0.012859902400000001,da,"[4.0, 1.0, 7.0, 4.0, 5.0]"
68,68,John,showed,his mom,[],[],a movie,['novice'],[],1,2,-6.2846515179,his mom,a novice movie,2,5,4,4,2,3,-5.5264062881000005,4,4,-5.8974437714,4,4,-5.5146171451,4,4,-5.5782962441,4,4,-6.48224322,4,4,-6.4357136091000005,4,4,-8.9256030718,4,4,-4.6472052097,4,6,-5.5998777866000005,4,5,-5.8060844898,4,5,-4.8381358253,4,5,-5.0095053779,4,5,0.4,0.6666666667000001,0.5,John showed a novice movie to his mom.,John showed his mom a novice movie.,-0.9496635710000001,-0.6826332637,-0.7784290569000001,-0.9463052154,-0.21547456580000002,-0.2601625124,-1.0997303327,-0.290910493,-0.28729162750000004,-0.2882156213,-0.7597807182,-0.9298388494000001,da,"[2.0, 6.0, 4.0, 3.0, 2.0]"
69,69,John,showed,his sister,"['older', 'step']","['in college', 'in Arkansas']",his outfit,"['handmade', 'tailored']","['from the designer', 'for the gala']",5,5,-5.6075481935000004,his older step sister in college in Arkansas,his handmade tailored outfit from the designer for the gala,13,17,8,11,8,10,-5.3669242859,8,11,-5.4098919088,8,11,-5.0731903206,8,11,-5.0552183715,8,11,-5.2777841308,8,10,-5.728229371,8,10,-8.5151252332,8,11,-5.9227222602000005,8,13,-5.0646147346,8,13,-5.0951142883,8,13,-4.9310129414,8,12,-5.3158011644,8,12,0.7647058824,0.8,1.0,John showed his handmade tailored outfit from the designer for the gala to his older step sister in college in Arkansas.,John showed his older step sister in college in Arkansas his handmade tailored outfit from the designer for the gala.,-0.4872262137,-0.1963780185,-0.23335886520000002,-0.33065083630000003,-0.503391142,-0.062218976700000005,-0.2774413047,-0.2372175887,-0.0531707192,-0.06256640200000001,-0.40939690100000004,-0.17642922930000002,da,"[5.0, 7.0, 7.0, 7.0]"
70,70,John,made,his mother,[],"['at the care home', 'in Miami']",a feast,['hearty'],"['with chicken', 'from the farm']",3,4,-5.0301738036,his mother at the care home in Miami,a hearty feast with chicken from the farm,11,10,9,8,8,8,-4.6978960539,9,8,-4.8688814264,9,8,-4.9077888539,9,8,-5.016137625,9,8,-4.4564685822,9,8,-4.8838160276,9,8,-6.6197271824,9,8,-5.1000134568,9,8,-4.0295478647,9,10,-4.1873269298,9,10,-4.394982087,9,8,-4.6108658941,9,8,1.1,1.0,0.75,John made a hearty feast with chicken from the farm for his mother at the care home in Miami.,John made his mother at the care home in Miami a hearty feast with chicken from the farm.,-0.21334017930000002,-0.2592550495,-0.0744214114,-0.1444714084,-0.7305440400000001,-0.5567167069,-0.9847032170000001,-0.5174259722,-0.611793708,-0.461120493,-0.9038230439,-1.1384478313,da,"[7.0, 2.0, 5.0, 6.0, 2.0]"
71,71,John,built,his brother,['younger'],[],a house,['big'],[],2,2,-4.3790531158,his younger brother,a big house,5,3,4,4,3,3,-3.7476743062,4,4,-3.9284379747,4,4,-3.8046509955,4,4,-3.842815982,4,4,-4.2859254837,4,4,-4.2472947598,4,4,-7.4681605816,4,4,-3.2975205845,4,4,-4.2140206337,4,4,-4.2433446884,4,4,-3.8646670447,4,4,-4.1552342309,4,4,1.6666666667,1.0,1.0,John built a big house for his younger brother.,John built his younger brother a big house.,-0.7844163577000001,-0.8392421935000001,-0.6044329669,-0.7255130542,-0.9070802901,-1.445312643,-1.2395666387,-1.0637065702,-0.9085547023,-0.8372022735,-0.687598361,-0.8303482400000001,da,"[7.0, 6.0, 4.0, 5.0, 4.0, 4.0]"
72,72,John,sent,his friend,"['good', 'trusted']",['from Michigan'],a car,['red'],['with drivers assistance'],4,3,-6.2400229136,his good trusted friend from Michigan,a red car with drivers assistance,9,9,6,6,6,6,-5.8216896057,6,6,-6.309396108,6,6,-6.0567403158,6,6,-5.9823002815,6,6,-6.0058747828,6,6,-6.0203010738,6,6,-8.2491855919,6,6,-6.0492056529,6,6,-5.7063726783,6,6,-5.7584835887,6,6,-5.6941016197,6,6,-6.1327220281,6,6,1.0,1.0,1.3333333333,John sent a red car with drivers assistance to his good trusted friend from Michigan.,John sent his good trusted friend from Michigan a red car with drivers assistance.,-0.5544806889,-0.0681322189,-0.3048049745,-0.23670261250000002,-0.2655854325,-0.47800682190000005,-0.14461517540000002,-0.6167160692,-0.7578920007000001,-0.9149705052,-0.4567280361,-0.47948810940000003,da,"[6.0, 3.0, 4.0, 4.0, 6.0]"
73,73,John,built,his parents,"['kind', 'disabled']",[],a house,"['beautiful', 'big', 'suburban']",['for fishing by the lake'],3,5,-6.2479581272,his kind disabled parents,a beautiful big suburban house for fishing by the lake,7,15,5,10,4,10,-5.6844744963,5,10,-5.5601102044,5,10,-5.5743899626,5,10,-5.2511863428,5,10,-5.5681009293,5,10,-5.8620232211,5,10,-8.4331103961,5,10,-5.0293621515,6,11,-5.1176330416,5,11,-5.1005425704,5,11,-5.2637122098,5,10,-5.5281951007,5,10,0.4666666667,0.4,0.6000000000000001,John built a beautiful big suburban house for fishing by the lake for his kind disabled parents.,John built his kind disabled parents a beautiful big suburban house for fishing by the lake.,-0.29572150280000004,-0.5772332023,-0.41570508650000004,-0.3528133017,-0.47928574500000004,-0.45476427420000004,-0.3855670854,-0.6491938934,-0.4947906168,-0.4704737148,-0.5677099999,-0.7141096416,da,"[2.0, 6.0, 5.0, 2.0]"
74,74,John,played,his mom,"['supportive', 'caring']",['with a film degree'],a video,"['long', 'amateur', 'comedy']",['for a class'],4,5,-6.1879562579,his supportive caring mom with a film degree,a long amateur comedy video for a class,12,14,8,8,8,8,-5.7825720938,8,8,-6.0074946755,8,8,-6.3538867298,8,8,-5.7546604558,8,8,-6.1623504162,8,8,-6.2152611494,8,8,-9.2086279392,8,8,-5.7650567402,10,9,-6.176738286,8,8,-6.3529941559,8,8,-5.8270529697,8,8,-6.2956527409,8,8,0.8571428571,1.0,0.8,John played a long amateur comedy video for a class for his supportive caring mom with a film degree.,John played his supportive caring mom with a film degree a long amateur comedy video for a class.,-0.9444452029,-0.44492545320000004,-0.11195233830000001,-0.7248186982,0.1189025201,-0.0298355341,-0.6871954893000001,-0.7777984544000001,0.2264411311,0.20860309600000002,-0.2957646526,-0.48660523990000004,da,"[7.0, 5.0, 3.0, 1.0, 2.0, 7.0, 3.0, 6.0, 5.0, 3.0, 1.0, 3.0]"
75,75,John,showed,the group,"['crowded', 'tour']","['with maps', 'from America']",his outfit,"['expensive', 'tailored', 'silk']","['from the designer', 'for the gala', 'for the evening']",5,7,-5.9038052926,the crowded tour group with maps from America,his expensive tailored silk outfit from the designer for the gala for the evening,12,23,8,15,8,14,-5.7479077853,8,15,-5.3936512287,8,15,-5.4545392807,8,15,-5.5845824205,8,15,-5.6312227433,8,14,-6.0798494082,8,14,-8.2096473199,8,15,-5.8262505872,9,16,-5.2754342386,8,16,-5.3326947519,8,16,-5.1856469741,8,15,-5.3165542896,8,15,0.5217391304,0.5714285714,0.7142857143,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,-0.1664882718,-0.44390294,-0.2635847656,-0.37167892820000004,-0.2057728584,0.2405557948,-0.536202858,-0.1262470011,0.027129677300000002,0.029708712800000002,-0.1092822251,0.0366548069,da,"[1.0, 6.0, 2.0, 2.0, 7.0]"
76,76,John,left,his friend,[],['in Ohio'],soup,['chicken'],['with vegetables'],2,3,-5.5969122106,his friend in Ohio,chicken soup with vegetables,6,8,5,5,4,4,-4.9812587391,5,5,-5.3722537648,5,5,-5.2728017027,5,5,-5.2539180409,5,5,-5.414542834,5,5,-5.1854211887,5,5,-8.6803990602,5,5,-5.2646282803,5,5,-5.3337911367,5,4,-5.4780073961,5,4,-5.0449452834,5,5,-5.5417963375,5,5,0.75,1.0,0.6666666667000001,John left chicken soup with vegetables for his friend in Ohio.,John left his friend in Ohio chicken soup with vegetables.,-1.0627590526,-0.6025997508000001,-0.6587285822000001,-0.826847874,-1.2361186779,-1.2803030194,-0.7333531489,-0.7468923915,-1.1173246883,-1.3584755623,-1.0402137323,-1.1719961773,da,"[7.0, 7.0, 6.0, 6.0]"
77,77,John,showed,the group,['large'],"['with maps', 'from America']",his outfit,['silk'],['from the designer'],4,3,-6.15216434,the large group with maps from America,his silk outfit from the designer,10,9,7,6,7,6,-5.982875824,7,6,-5.8049190044,7,6,-5.8430644274,7,6,-6.0051324069,7,6,-5.940829838,7,6,-6.1129592727,7,6,-8.0097933657,7,6,-5.7054171843,8,6,-6.3290672302,7,6,-6.4370462193,7,6,-5.8916476667,7,6,-6.1018289328,7,6,1.1111111111,1.1666666667,1.3333333333,John showed his silk outfit from the designer to the large group with maps from America.,John showed the large group with maps from America his silk outfit from the designer.,-0.47329177850000004,-0.5827045918,-0.6738823970000001,-0.44329368080000003,-0.6006310635000001,-0.3681441476,-0.3325322025,-0.5387821513000001,-0.2945463956,-0.38540310720000004,-0.5042591313,-0.560775876,da,"[5.0, 3.0, 2.0, 2.0]"
78,78,John,built,his brother,"['unemployed', 'sick', 'younger']",['with cancer'],a boat,"['big', 'green']",[],5,3,-6.1291017532,his unemployed sick younger brother with cancer,a big green boat,12,4,7,5,7,4,-5.8911893027,7,5,-5.9392820086,7,5,-5.9170808452,7,5,-5.9052283083,7,5,-5.5370421727,7,5,-5.8443104744,7,5,-8.4840631803,7,5,-5.317103672,8,5,-5.1483106017,8,5,-5.0814117193,8,5,-5.7478281430000004,7,5,-5.9254095895,7,5,3.0,1.75,1.6666666667,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,-1.1907988119,-1.2606298425,-1.1171816652,-0.9136062899,-0.9636877969000001,-1.0337984358,-0.577435087,-1.0971412523,-0.8064166983000001,-0.816788888,-0.5815604021,-0.7283438745,da,"[6.0, 5.0, 7.0, 7.0, 7.0]"
79,79,John,mailed,his friend,"['good', 'trusted']",[],flowers,[],['from the nursery in town'],3,2,-6.043675496,his good trusted friend, flowers from the nursery in town,5,9,5,6,4,6,-5.9432015052,5,6,-6.0805901747,5,6,-6.0956801635,5,6,-5.988103243,5,6,-5.838406086,5,6,-5.8592013291,5,6,-7.9756191458,5,6,-5.200298718,5,6,-4.9025965578,5,8,-5.0073180199,5,8,-5.0999299563,5,6,-5.4933236195,5,6,0.5555555556,0.6666666667000001,1.5,John mailed flowers from the nursery in town to his good trusted friend.,John mailed his good trusted friend flowers from the nursery in town.,-0.3524381687,-0.4654281079,-0.3835182923,-0.6125668563000001,-0.1325183648,-0.3270545294,0.1584598599,-0.4460943243,-0.21511582070000002,-0.29474803800000005,-0.5512828154,-0.5719428307000001,da,"[6.0, 7.0, 4.0, 4.0]"
80,80,John,wrote,his family,"['large', 'religious', 'extended']","['from the farms', 'in the plains', 'in Kansas']",a message,"['polite', 'notice']",['for his work'],7,4,-5.6327046104,his large religious extended family from the farms in the plains in Kansas,a polite notice message for his work,20,10,13,7,13,7,-5.26412118,13,7,-5.0868760814,13,7,-5.3946461470000004,13,7,-5.21232039,13,7,-5.4199711084,13,7,-5.6960459352,13,7,-7.0340021451,13,7,-5.6313591003,13,7,-5.0894138527,14,7,-5.1765413284,14,7,-5.2995763032,13,7,-5.6591256183,13,7,2.0,1.8571428571,1.75,John wrote a polite notice message for his work to his large religious extended family from the farms in the plains in Kansas.,John wrote his large religious extended family from the farms in the plains in Kansas a polite notice message for his work.,-0.55747774,-0.5047957756,-0.4430131903,-0.6993004653,-0.6510599645,-0.7736821407000001,-0.9820168053,-0.6038040465,-0.5796088266,-0.6060644587,-0.4250983551,-0.1556423493,da,"[5.0, 6.0, 6.0, 6.0, 6.0]"
81,81,John,leases,immigrants,['fresh'],"['with college degrees', 'in politics']",apartments,['studio'],['in downtown'],4,3,-6.6972646713,fresh immigrants with college degrees in politics,studio apartments in downtown,13,9,7,5,7,4,-6.0755274636,7,5,-6.1031481028,7,5,-5.9609809262,7,5,-5.5832736492,7,5,-6.1838518778,7,4,-6.5270829837,7,4,-9.7333951314,7,5,-6.3322671161,9,7,-5.6901385486,7,4,-5.9693116248,7,4,-6.0168025834,7,5,-6.498177869,7,5,1.4444444444,1.75,1.3333333333,John leases studio apartments in downtown to fresh immigrants with college degrees in politics.,John leases fresh immigrants with college degrees in politics studio apartments in downtown.,-1.7640466166,-1.5281845881,-1.2592400798,-1.7831988885,-1.2036215692,-1.2696531545,-1.2970323245,-0.33140100980000003,-1.2193665644,-0.9549545864000001,-1.1188925073,-1.3197636499,da,"[2.0, 7.0, 7.0, 6.0]"
82,82,John,sells,students,[],"['with jobs', 'at the campus', 'in the city']",apartments,['small'],"['with balconies', 'in downtown']",4,4,-5.1551916223, students with jobs at the campus in the city,small apartments with balconies in downtown,12,11,9,7,9,6,-4.6881557264,9,7,-4.6831926045,9,7,-4.2650270462,9,7,-4.3483564226,9,7,-4.3029718876,9,7,-4.4506745815,9,7,-6.8598187923000005,9,7,-4.7007550326,9,10,-4.2850194204,9,7,-4.4386240868,9,7,-4.3342554444,9,7,-4.6882644202,9,7,1.0909090909,1.5,1.0,John sells small apartments with balconies in downtown to students with jobs at the campus in the city.,John sells students with jobs at the campus in the city small apartments with balconies in downtown.,-0.5853680281,-0.7467309829000001,-0.7726365725000001,-1.063622299,-1.1627072309,-0.9535238894,-0.6129346572000001,-0.3066271332,-0.8472359192000001,-0.7688345999999999,-0.8742653124,-0.8837570112,da,"[7.0, 2.0, 7.0, 7.0, 7.0]"
83,83,John,constructed,the children,"['poor', 'orphaned']",['from the disaster'],a boat,['speed'],"['with powered engines', 'for driving on the water']",4,4,-4.9417189685,the poor orphaned children from the disaster,a speed boat with powered engines for driving on the water,12,16,8,11,7,11,-4.5688691573,8,11,-4.9484147159,8,11,-4.6454398415,8,11,-4.7100260258,8,11,-4.8030037673,8,11,-4.9647145686,8,11,-7.2742913495,8,11,-4.6083399109,8,12,-4.3884379665,9,11,-4.4203672409,9,11,-4.4243748838,8,11,-4.5459791964,8,11,0.75,0.6363636364,1.0,John constructed a speed boat with powered engines for driving on the water for the poor orphaned children from the disaster.,John constructed the poor orphaned children from the disaster a speed boat with powered engines for driving on the water.,-0.7820869875,-0.6074191915,-0.6299109562,-0.5420329343,-0.4669665197,-0.4664352392,-0.7020063542,-0.8523468161000001,-0.4065268446,-0.3470666512,-0.5156404549,-0.7308143062,da,"[6.0, 7.0, 7.0, 7.0, 6.0]"
84,84,John,wrote,his family,['religious'],['from the farms'],a message,['polite'],"['about his travel in Europe', 'for his work']",3,4,-5.6374112129,his religious family from the farms,a polite message about his travel in Europe for his work,10,16,6,11,6,11,-5.294824791,6,11,-5.2817937851,6,11,-5.0288585186,6,11,-5.0643470526,6,11,-5.2379875864,6,11,-5.6919087682,6,11,-6.373974187,6,11,-4.9364336252,6,11,-4.9166703224,6,11,-5.0309090841,6,11,-5.0729791641,6,11,-5.4836420059,6,11,0.625,0.5454545455,0.75,John wrote a polite message about his travel in Europe for his work to his religious family from the farms.,John wrote his religious family from the farms a polite message about his travel in Europe for his work.,-0.2199788444,-0.312149359,-0.5115492896,-0.6034761366,-0.16401484360000002,0.1386785064,-0.7862980775,-0.6508720712,-0.3062925101,-0.31095883960000004,-0.1780627502,0.0503020838,da,"[3.0, 7.0, 7.0, 4.0, 6.0]"
